id	veracity
3183	1
16	0
573	1
455	1
3472	1
3426	1
3884	1
172	1
1950	1
22	1
452	1
2011	0
440	0
3189	1
3112	1
454	1
3146	0
3823	1
4	0
3819	1
3443	1
825	1
345	1
3928	1
810	0
176	1
178	1
3849	0
3155	1
3820	1
3468	1
3076	0
3987	0
1917	1
3117	1
3835	1
3164	1
3859	1
3136	1
3447	0
83	0
458	0
593	1
168	1
461	0
181	0
574	1
3178	0
1446	1
1642	0
447	0
566	1
3915	0
3188	1
3158	1
418	1
3467	1
378	1
4022	1
3121	1
3433	0
3844	1
3798	0
459	1
25	1
618	1
567	1
448	1
3919	1
3868	0
3212	1
1930	1
3899	1
1975	1
565	1
470	0
3125	1
542	0
3142	1
3888	1
1932	1
453	1
4062	0
2053	1
175	1
84	1
192	0
3171	1
3810	1
146	0
1919	1
4056	1
2865	1
3986	1
3858	1
7	0
3458	0
3431	1
3184	1
193	1
1960	0
1972	1
3926	1
2005	1
426	1
3898	1
3865	1
608	0
3182	1
339	0
3623	1
3109	1
3800	1
2967	1
0	0
664	1
12	0
3910	1
3870	0
3837	0
613	1
91	1
3869	0
3922	1
171	1
1996	0
156	1
3597	1
3672	0
204	1
1987	1
3115	0
3866	1
441	1
616	1
4049	0
1962	1
2742	1
199	1
456	1
811	1
3145	1
460	1
157	0
3173	1
3893	0
465	1
3389	1
450	1
217	1
3914	1
3132	1
1985	1
3804	1
434	1
179	0
1957	0
1953	0
1981	1
3422	1
3994	0
1934	1
472	0
1969	0
575	1
3904	1
1965	0
3116	1
86	1
4065	1
3840	1
3985	1
3908	1
3850	0
383	0
1994	0
449	1
1933	1
3998	1
3803	1
1973	1
3120	1
3456	1
606	0
3982	0
3137	1
3111	0
3503	1
90	1
3140	0
2006	1
3852	0
352	1
3944	1
431	1
3149	1
3424	1
463	0
198	1
3883	1
3165	1
1948	1
2781	1
443	1
3455	0
3402	1
619	0
3507	1
158	1
3913	1
3871	0
3838	1
3160	0
4003	1
3196	1
5	0
3827	1
3237	1
3916	1
218	1
195	1
185	1
3118	1
571	1
3156	1
3177	0
1997	0
3846	1
2	0
3683	1
3181	1
534	1
3475	1
1955	0
6	0
160	1
3873	0
3892	1
3113	1
3839	0
3139	1
299	1
203	1
614	1
3889	1
3813	0
182	1
3801	0
1937	0
3166	1
344	1
3911	1
3861	1
3989	1
3872	0
15	0
772	1
3817	1
3805	1
191	1
3856	1
1976	1
612	1
436	1
757	1
3981	1
3992	1
3917	1
3969	1
617	1
2061	1
1921	1
511	1
3450	1
1	0
3080	1
3457	1
3246	1
765	1
609	0
1938	1
1949	1
3891	0
3162	1
3114	1
580	1
3138	1
1980	1
1964	0
3890	1
396	1
2685	1
809	1
3828	0
3505	1
469	1
1943	1
437	0
3441	1
2001	0
3	0
3681	1
1954	1
