id	veracity
2760	1
65	1
1475	1
797	1
2867	1
2807	0
3711	0
303	1
1601	1
73	0
779	0
1671	1
71	0
759	1
2768	1
2073	1
794	1
2713	0
3194	1
26	1
3108	1
2826	1
1533	1
496	1
3966	1
1530	1
337	1
342	1
3598	0
2725	1
3192	1
2860	1
2066	1
4024	1
1564	1
2681	0
3230	1
2740	1
3685	1
2703	0
2832	1
255	1
803	1
1490	1
289	1
808	1
349	1
1479	1
2756	1
1553	1
1557	1
771	1
1340	1
3749	1
2767	1
2729	1
633	1
2856	1
626	1
1565	1
4043	1
2686	1
2813	1
3568	1
2901	0
804	0
75	0
1512	1
773	1
3782	0
3698	1
1511	1
2773	0
1579	1
3729	0
1631	1
1320	1
823	1
2690	0
859	1
2709	0
3715	0
1582	1
789	1
4052	0
1674	1
309	1
256	1
359	1
2750	1
2942	0
274	1
1567	1
4051	1
2056	1
4006	0
32	1
2845	0
2811	1
1335	1
2761	1
360	1
1611	1
1627	1
3963	1
3697	1
1317	1
1667	1
639	1
3728	0
3693	1
1498	1
2759	0
479	1
2890	0
2068	1
2903	1
2059	1
18	1
1519	1
60	1
3742	0
3700	1
3235	1
1505	1
269	1
3699	0
3957	1
302	1
1655	1
279	1
2888	0
2893	0
379	1
1646	1
2679	1
3694	1
1602	1
774	1
763	0
1509	1
4047	1
1614	1
1910	1
368	1
798	1
1531	1
2712	0
805	1
281	0
2753	1
3722	0
3678	1
280	1
816	1
2800	1
776	1
386	1
3748	1
2698	0
1644	1
2931	1
701	1
1608	1
1638	1
2804	1
4036	0
343	1
1584	1
1532	1
824	1
1623	1
826	1
3737	1
1618	1
260	1
4061	0
3243	1
3997	1
3739	0
3601	1
629	1
775	1
1583	1
4037	0
1628	1
2684	1
2843	0
488	1
1496	1
3978	1
2704	0
2071	1
2878	0
268	1
1669	1
3624	0
528	1
3971	0
677	0
2718	0
2805	1
813	1
367	1
3709	0
822	0
2717	0
2741	1
1598	1
2708	0
1914	1
3747	1
766	1
2841	0
2802	1
1499	1
1513	1
2881	0
282	1
4053	1
3745	1
3701	1
537	1
3240	1
2831	1
2731	1
4039	1
2772	1
27	1
3205	0
2795	1
3763	1
387	1
364	0
357	1
2682	1
1451	1
2726	1
2755	1
1657	0
3591	1
310	1
1477	1
20	1
2897	1
2758	0
839	1
2872	1
2680	1
1605	1
31	1
284	1
3703	0
3721	0
3241	1
2707	0
402	0
1506	1
3716	0
3014	1
350	1
2912	1
3704	0
1588	1
2743	1
3688	1
4029	1
3197	1
