id	veracity
2424	0
190	1
1056	1
1008	1
2593	0
2490	1
3340	0
884	1
1193	1
295	1
1004	1
1272	1
216	1
986	1
2434	0
1945	1
1006	1
2377	0
3262	1
138	1
3258	0
2538	1
1115	1
946	1
3484	1
1112	1
889	0
893	1
3298	1
2391	1
3259	1
2585	1
1455	1
3762	1
1152	0
2052	1
3282	1
2404	1
3312	1
2367	1
2551	0
516	1
1013	1
1069	1
876	0
1017	1
897	1
1058	1
2421	0
1138	1
1143	1
996	1
1048	1
3411	0
2432	0
2396	1
961	1
2583	1
954	1
1153	0
3938	1
2425	0
2348	0
2521	1
3294	1
2938	1
1014	1
306	1
1093	1
1049	1
997	1
3417	1
3326	1
1092	1
2439	1
1168	1
3360	1
1228	1
1046	1
1030	1
2352	1
1044	1
2373	1
3345	0
1171	1
1005	1
4033	1
1276	1
888	1
539	1
905	1
2413	1
3198	1
785	1
1155	1
4026	1
1295	1
3752	1
3311	0
152	1
2573	0
2514	1
1459	1
2426	0
906	1
1205	1
1224	1
3461	1
3325	0
1045	1
1268	1
968	1
3359	1
3320	1
1077	1
2395	0
944	0
2672	0
1905	1
2984	0
1296	1
48	1
1100	1
167	1
3376	0
3328	1
3284	0
1085	1
752	1
3327	1
3425	0
883	0
1253	1
852	1
2670	1
2675	0
922	1
1243	1
1977	1
3322	1
1194	1
998	1
988	1
1089	1
3984	1
1208	1
1283	1
915	1
1010	1
1113	1
1015	1
868	1
2417	1
3352	0
3310	1
1022	1
2479	1
1000	1
925	1
3409	1
2361	1
1241	1
3102	1
3260	1
978	1
1202	1
1236	1
2485	1
3877	1
894	1
1174	0
1114	1
1032	1
1219	1
1059	1
1033	1
3370	1
1214	1
1991	0
560	1
4048	0
3288	0
3682	1
3373	0
3300	1
956	1
1173	1
758	1
3878	1
1047	1
3101	1
1225	1
3508	0
2347	0
2570	0
1075	1
2368	1
1929	1
2612	1
1270	1
3304	1
948	1
3596	1
877	0
974	1
2383	1
2487	0
1019	1
914	1
3338	1
1029	1
2382	1
2406	1
1189	1
2372	0
1289	1
3407	0
991	1
2568	0
2482	1
1078	1
2619	1
870	1
4041	1
999	1
3406	1
3330	0
949	1
3286	1
2550	0
2398	0
3930	1
2438	0
148	1
3271	1
2446	1
3414	0
927	1
910	1
902	1
2057	1
1053	1
2392	1
990	1
2420	0
1256	1
3297	1
