id	veracity
2995	0
100	0
793	1
670	0
3216	1
3034	1
3639	0
230	1
1435	1
104	1
662	1
2470	1
101	1
643	0
3006	1
2655	0
665	1
2940	1
3528	0
45	1
3524	0
3056	1
1357	1
521	0
3948	0
1352	1
236	1
240	0
3567	0
2955	0
3526	0
3094	1
2647	1
4005	1
1393	1
2663	1
3546	1
2972	1
3602	1
2920	1
3063	1
120	1
675	0
861	1
222	1
682	1
244	1
843	1
2990	1
1380	1
1385	1
654	0
721	0
3789	1
3004	1
2960	0
549	1
3093	1
531	1
1394	1
4055	1
2775	1
3042	1
3563	0
3483	1
676	0
107	1
1327	1
722	1
655	1
3796	1
3621	0
3011	1
1411	0
3760	1
1880	1
719	1
695	1
2788	1
717	1
2928	1
3658	0
1414	0
663	1
4066	1
2474	1
234	1
121	0
407	1
2981	0
3500	0
136	1
1396	1
4064	1
2641	1
4001	1
3581	1
52	1
3083	1
3039	0
2648	1
2996	1
409	1
1448	1
1471	1
3945	1
3620	0
718	1
2466	0
558	1
3758	1
3611	1
1305	1
2993	0
515	1
3395	1
2650	1
3487	1
2642	1
39	1
1338	1
93	1
3781	0
3626	1
3549	1
1319	0
131	0
3622	1
3933	1
229	1
2024	0
143	1
3393	0
3398	0
486	1
1907	0
2661	1
3613	1
1436	0
656	1
645	0
1324	1
4063	1
1453	1
2629	1
421	1
671	1
1354	1
2939	0
678	0
145	1
2985	0
3673	1
3580	1
686	0
3027	0
658	1
491	1
3788	1
2914	1
1900	1
3493	1
592	1
1444	1
1437	0
1894	1
3031	1
4019	1
242	1
1417	0
1356	1
697	1
1466	1
844	1
698	0
3771	0
1461	1
124	1
4068	1
3556	0
3999	1
3776	1
3569	1
545	1
1416	0
132	1
4020	1
720	1
3492	1
1472	1
2666	1
3081	0
520	1
1301	1
3996	1
2923	1
2653	1
3247	1
2468	1
3574	0
523	0
3952	1
585	1
2947	0
3033	0
684	1
420	1
3638	1
2946	0
2973	1
1433	0
2927	1
2635	1
3787	0
648	0
3077	0
687	1
3030	1
1308	1
1328	0
3384	1
210	1
4067	1
657	0
3786	0
3629	1
1384	1
3551	1
3062	1
2962	0
4023	0
3009	1
46	0
3535	0
1307	1
3022	1
3791	1
493	1
413	1
252	1
2664	1
786	1
2956	0
3079	1
647	1
2989	0
2454	1
3566	0
235	1
840	1
42	1
3404	1
2992	0
3231	0
2662	1
1440	1
47	1
212	1
3631	1
3668	0
2657	1
3553	0
2926	1
510	0
485	1
1321	1
3659	1
3511	1
246	0
3488	0
3632	0
1421	0
2974	0
3605	1
4008	1
3529	0
1348	1
3783	0
3521	1
3604	0
3495	0
406	1
3579	1
668	1
3534	0
1883	1
1314	1
98	0
598	1
1344	1
3995	1
845	1
2997	1
4015	1
4000	1
3954	1
1326	1
2957	1
2476	1
1399	0
707	1
3068	1
40	1
3775	1
2649	1
3082	1
3232	1
3029	0
1379	1
3023	0
1346	0
1322	1
1422	0
867	1
1434	0
3793	0
3035	1
3666	1
