query;Annotation;QualityCard
INEX_LD-2010043;A;B
INEX_LD-20120312;SAME;A
INEX_LD-2012318;B;A
INEX_LD-2012349;A;A
INEX_LD-2012355;SAME;B
INEX_LD-2012361;A;B
INEX_LD-2012371;B;B
INEX_XER-122;B;A
QALD2_te-27;B;A
QALD2_te-41;A;A
QALD2_te-57;B;A
QALD2_te-8;B;B
QALD2_te-97;A;A
QALD2_tr-11;A;A
QALD2_tr-59;A;B
QALD2_tr-86;B;B
SemSearch_ES-101;A;A
SemSearch_ES-112;SAME;B
SemSearch_ES-124;B;B
SemSearch_ES-130;A;A
SemSearch_ES-140;B;B
SemSearch_ES-19;A;B
SemSearch_ES-30;A;A
SemSearch_ES-40;B;A
SemSearch_ES-54;B;B
SemSearch_LS-10;B;A
SemSearch_LS-3;A;A
SemSearch_LS-36;SAME;A
SemSearch_LS-42;A;B
TREC_Entity-2;A;B
TREC_Entity-9;SAME;B
